# FieldID,R.A.,Dec.,R.A. [decimal],Dec. [decimal],Net Prob
E1S156,13:25:34.1,-29:07:44.0,201.39197288236056,-29.128876538417046,0.0009829570030002704
E1S157,13:21:42.7,-31:06:58.8,200.42774707811836,-31.11634320508371,0.0009796390649078415
E1S158,13:01:26.3,-22:10:21.9,195.35952186908506,-22.172743205083727,0.0009723244669239108
E1S159,13:16:30.1,-29:07:44.0,199.12560524263944,-29.128876538417046,0.0009253397071148785
E1S160,12:54:11.9,-18:41:40.8,193.54968623090144,-18.694676538417067,0.0008816116477666141
E1S161,13:17:42.6,-29:37:32.7,199.4276767978597,-29.62574320508371,0.0008447090927694033
E1S162,13:26:49.2,-29:37:32.7,201.7051357021403,-29.62574320508371,0.0007429475593165594
E1S163,13:00:24.3,-21:40:33.2,195.10143664557796,-21.67587653841706,0.0007340287617939028
E1S164,12:56:11.5,-15:12:59.8,194.04807218729331,-15.216609871750403,0.0007196324285439967
E1S165,13:15:07.1,-28:37:55.2,198.7794502215819,-28.63200987175038,0.0006877805048246296
